Symbol,ShortName,violation_year,rule_score_sum,n_rules_triggered,rule_ids,industry,ann_fin_flag
300182,捷成股份,2021,45,2,R1;R4,影视音像,1.0
600260,*ST 凯乐,2022,45,3,R3;R4;R5,未分类,
300269,联建光电,2019,45,2,R1;R4,元器件,
300262,*ST 巴安,2024,45,3,R3;R4;R5,未分类,1.0
600290,*ST 华仪,2023,45,3,R3;R4;R5,未分类,
600656,*ST 博元,2013,45,2,R2;R3,未分类,
601155,新城控股,2016,45,2,R2;R3,区域地产,0.0
600656,ST 方源,2010,45,3,R3;R4;R5,未分类,
600652,游久游戏,2015,45,2,R1;R4,未分类,0.0
600020,中原高速,2011,45,3,R3;R4;R5,路桥,
300108,*ST 吉药,2022,45,3,R3;R4;R5,未分类,0.0
300108,ST 吉药,2023,45,3,R3;R4;R5,未分类,1.0
600293,三峡新材,2021,45,2,R1;R4,玻璃,1.0
600671,天目药业,2013,45,2,R1;R4,中成药,1.0
300216,千山药机,2019,45,3,R3;R4;R5,未分类,
300226,上海钢联,2021,45,2,R2;R3,互联网,
300209,ST 有棵树,2022,45,2,R1;R4,互联网,
